CNAE,UF,score,ranking,count_contratos,valor_medio,n_orgaos
9529105,SP,100.0,178,31,25005.129032258064,4
5912099,RS,100.0,179,12,57450.833333333336,7
8592902,SP,100.0,180,20,81516.25,10
9001902,RJ,100.0,181,82,138856.42682926828,30
5611201,GO,100.0,182,58,142742.1896551724,10
8230001,PE,100.0,183,19,141551.2105263158,10
4520006,MG,100.0,184,12,457237.0833333333,11
8592902,RS,100.0,185,13,361285.07692307694,12
4530703,SP,100.0,186,13,134807.76923076922,4
7739003,GO,100.0,187,14,35907.142857142855,5
4520007,SP,100.0,188,21,30576.809523809523,7
4520005,PR,100.0,189,91,876890.7472527473,14
7319099,GO,100.0,190,33,286029.9393939394,23
8592903,MG,100.0,191,27,1121849.6666666667,23
9001902,SE,100.0,192,35,106083.42857142857,9
4753900,SP,100.0,193,48,77329.64583333333,13
1412601,SP,100.0,194,13,170525.61538461538,12
5611203,PR,100.0,195,14,164603.42857142858,10
4520005,RS,100.0,196,31,149116.09677419355,12
4520005,GO,100.0,197,69,94532.92753623187,15
4321500,SP,100.0,198,58,138232.58620689655,38
9529102,SP,100.0,199,54,77726.62962962964,16
4924800,MG,100.0,200,55,1250467.0363636364,28
5612100,GO,100.0,201,24,46373.91666666666,5
5912099,SP,100.0,202,16,126294.0625,12
4321500,PR,100.0,203,69,503762.2608695653,7
5611203,SP,100.0,204,25,1826663.6,9
2542000,SP,100.0,205,29,100417.41379310343,15
9511800,SP,100.0,206,24,210464.25,15
4744001,SP,100.0,207,13,46631.0,6
8592999,ES,100.0,208,12,85052.66666666667,9
4781400,BA,100.0,209,11,1508187.181818182,9
4520001,GO,100.0,210,42,35214.40476190476,16
4520001,RS,100.0,211,69,170802.26086956522,13
9001902,RS,100.0,212,153,93507.9477124183,79
4330404,MG,100.0,213,14,674456.4285714285,11
9602501,SP,100.0,214,14,121807.14285714286,8
9001902,GO,100.0,215,28,154376.07142857142,16
8599699,MG,100.0,216,19,331177.0,15
7721700,SP,100.0,217,15,122280.6,8
5611201,SP,100.0,218,12,301103.25,8
1412601,PR,100.0,219,11,184202.7272727273,9
2539001,GO,100.0,220,20,14710.0,5
4399103,SP,100.0,221,72,190225.0555555556,26
4751201,PR,100.0,222,16,363811.75,7
8592999,SP,100.0,223,281,606514.7758007117,62
5611203,BA,100.0,224,14,1201583.9285714286,9
5611201,BA,100.0,225,22,1605261.9545454546,11
4742300,RS,100.0,226,29,31831.241379310344,5
3314707,GO,100.0,227,23,19039.130434782608,5
4751201,BA,100.0,228,15,548888.0666666667,9
9001906,PE,100.0,229,16,51437.5,6
8599604,RS,100.0,230,20,109180.3,16
8599604,GO,100.0,231,11,376416.3636363637,9
8599699,SC,100.0,232,21,2918921.095238095,13
4723700,SP,100.0,233,10,88466.6,9
9529105,RS,100.0,234,11,60870.0,8
9001906,MG,100.0,235,28,266687.8571428572,25
7319099,SP,100.0,236,101,19799.930693069306,13
8219999,SP,100.0,237,48,163092.39583333334,35
7319099,BA,100.0,238,19,154236.2105263158,9
9001901,MG,100.0,239,12,114935.0,9
8219999,BA,100.0,240,11,104408.18181818182,4
7721700,PR,100.0,241,28,225298.25,5
4322302,76730000,100.0,242,15,15266.666666666666,2
8129000,GO,100.0,243,12,180166.66666666663,6
4330499,SP,100.0,244,12,262871.4166666667,8
7319099,ES,100.0,245,15,51320.0,4
7739003,SP,100.0,246,11,161549.0909090909,4
8230001,BA,100.0,247,40,524451.975,31
4930201,SP,100.0,248,19,200454.57894736843,14
4759801,BA,100.0,249,11,144156.45454545456,5
8230001,ES,100.0,250,25,142964.0,19
5611203,76280005,100.0,251,26,3246.538461538461,1
8592902,PR,100.0,252,15,280836.6666666667,7
4520005,SP,100.0,253,32,60440.46875,17
9529102,GO,100.0,254,20,42691.65,9
7420001,SP,100.0,255,12,784852.4166666666,10
8230001,PB,100.0,256,16,250504.75,12
9521500,SP,100.0,257,32,35227.4375,17
1813099,RS,100.0,258,13,38276.769230769234,11
4322302,PE,99.9,259,9,2133085.333333333,5
1813099,GO,99.9,260,9,10255.555555555557,4
9001902,CE,99.9,261,9,175753.77777777778,7
4761003,DF,99.9,262,8,176778.75,8
4520005,73970000,99.9,263,11,4018.181818181818,1
9609299,SP,99.9,264,9,7131982.444444444,7
3101200,PR,99.9,265,9,269956.44444444444,8
5819100,SP,99.9,266,9,147762.88888888888,7
4322302,PB,99.9,267,9,2770122.888888889,5
8592999,PE,99.9,268,10,79030.0,6
4321500,SC,99.9,269,9,1009518.2222222222,9
5620101,SP,99.9,270,10,149812.5,3
1813099,SP,99.9,271,10,185225.0,3
4520003,SP,99.9,272,10,13932.1,4
7721700,GO,99.9,273,9,36166.66666666666,8
2542000,MG,99.9,274,10,126800.0,8
4520001,PR,99.9,275,10,3942994.5,6
7319002,RS,99.9,276,9,188676.66666666663,8
5620101,CE,99.9,277,10,41315.0,1
4755502,BA,99.9,278,8,663505.25,8
8230001,MS,99.9,279,11,131479.54545454544,2
4520005,ES,99.9,280,9,859572.8888888889,8
8599604,SC,99.9,281,9,166596.44444444444,9
4924800,PR,99.9,282,10,2561949.4,5
5620104,SP,99.9,283,10,103528.0,6
4761001,RS,99.9,284,10,25687.9,6
5212500,GO,99.8,285,9,210830.77777777772,2
8219999,CE,99.8,286,9,904547.1111111112,5
7319002,BA,99.8,287,8,107991.875,8
5612100,RO,99.8,288,8,229389.25,7
4789001,RS,99.8,289,9,61666.66666666666,7
4399199,MG,99.8,290,9,215975.44444444444,3
