CNAE,UF,count_contratos,valor_total,valor_medio,n_orgaos,n_meis,share_cnae,share_uf,log_valor_medio,log_valor_total,log_count,diversidade_orgaos,densidade_mei,target
1813001,GO,7,425980.0,60854.28571428572,3,2,0.0035508561508719324,0.0982403535074568,11.016253959298634,12.96215002331789,2.0794415416798357,0.025210084033613446,0.2857142857142857,1
4744099,MG,4,190464.0,47616.0,4,4,0.003945395723191036,0.1032115521186775,10.770945119316325,12.157223729634893,1.6094379124341003,0.03361344537815126,1.0,0
1749400,PR,1,24750.0,24750.0,1,1,0.0006312633157105657,0.09776690602067388,10.11662117122102,10.11662117122102,0.6931471805599453,0.008403361344537815,1.0,0
5590699,BA,2,540560.0,270280.0,2,2,0.0011836187169573108,0.0658881085772903,12.507217437526071,13.200362768157747,1.0986122886681098,0.01680672268907563,1.0,0
6399200,PE,1,28000.0,28000.0,1,1,0.00023672374339146217,0.015781582892764143,10.239995502805316,10.239995502805316,0.6931471805599453,0.008403361344537815,1.0,0
4520003,PR,3,20554898.0,6851632.666666667,2,3,0.004024303637654857,0.09776690602067388,15.73999767328802,16.83860986465573,1.3862943611198906,0.01680672268907563,1.0,0
1411801,MG,1,264000.0,264000.0,1,1,0.00015781582892764143,0.1032115521186775,12.483708170000067,12.483708170000067,0.6931471805599453,0.008403361344537815,1.0,0
4789007,GO,1,7400.0,7400.0,1,1,0.0044188432099739605,0.0982403535074568,8.909370405197466,8.909370405197466,0.6931471805599453,0.008403361344537815,1.0,0
4763603,76280000,1,165000.0,165000.0,1,1,7.890791446382072e-05,0.0026828690917699047,12.013706813470414,12.013706813470414,0.6931471805599453,0.008403361344537815,1.0,0
1813099,GO,9,92300.0,10255.555555555557,4,1,0.0035508561508719324,0.0982403535074568,9.235672346526792,11.43281025466844,2.302585092994046,0.03361344537815126,0.1111111111111111,1
7729202,SITIOS VALE DAS BRISAS,1,15320.0,15320.0,1,1,0.005207922354612168,7.890791446382072e-05,9.636979715315753,9.636979715315753,0.6931471805599453,0.008403361344537815,1.0,0
4789001,GO,3,44875.0,14958.333333333334,2,1,0.0021305136905231596,0.0982403535074568,9.613090687255639,10.711658409664855,1.3862943611198906,0.01680672268907563,0.3333333333333333,0
3299099,PE,5,1200250.0,240050.0,5,3,0.004024303637654857,0.015781582892764143,12.388606679749202,13.998041259552599,1.791759469228055,0.04201680672268908,0.6,1
5812302,PR,1,1.0,1.0,1,1,0.0018148820326678765,0.09776690602067388,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.008403361344537815,1.0,0
9001902,22730020,1,80000.0,80000.0,1,1,0.1207291091296457,7.890791446382072e-05,11.289794413577894,11.289794413577894,0.6931471805599453,0.008403361344537815,1.0,0
9609299,MG,8,545000.0,68125.0,6,7,0.004655566953365423,0.1032115521186775,11.129114210756894,13.208542908506082,2.1972245773362196,0.05042016806722689,0.875,1
4930204,ES,1,308000.0,308000.0,1,1,0.0009468949735658487,0.02714432257555433,12.637858308703688,12.637858308703688,0.6931471805599453,0.008403361344537815,1.0,0
9529102,76270000,1,5500.0,5500.0,1,1,0.013572161287777164,0.00039453957231910363,8.612685172875459,8.612685172875459,0.6931471805599453,0.008403361344537815,1.0,0
159802,PR,4,19400.0,4850.0,1,1,0.00031563165785528286,0.09776690602067388,8.486940148245216,9.873079890114703,1.6094379124341003,0.008403361344537815,0.25,0
5212500,SC,3,1348834.0,449611.3333333333,1,1,0.0009468949735658487,0.043951708356348144,13.016141008976595,14.114751814884755,1.3862943611198906,0.008403361344537815,0.3333333333333333,0
