CNAE,UF,count_contratos,valor_total,valor_medio,n_orgaos,n_meis
4751202,SC,1,1032901.0,1032901.0,1,1
7721700,BA,2,974900.0,487450.0,2,2
8593700,SP,3,572840.0,190946.66666666666,3,3
4781400,PR,6,3520561.0,586760.1666666666,6,6
5320202,RS,7,35000.0,5000.0,1,1
8219999,PB,4,1320000.0,330000.0,4,3
1749400,GUARA II,1,12000.0,12000.0,1,1
7319099,ES,15,769800.0,51320.0,4,4
4752100,GO,8,539240.0,67405.0,5,3
9511800,PB,6,7508735.0,1251455.8333333333,5,6
4322302,75980000,1,26500.0,26500.0,1,1
8592999,MT,1,3000.0,3000.0,1,1
4755502,RS,3,3083841.0,1027947.0,3,3
7721700,ES,3,561350.0,187116.66666666666,3,2
8129000,GO,12,2162000.0,180166.66666666666,6,4
4789003,MG,1,1067183999.0,1067183999.0,1,1
5620104,DF,1,0.0,0.0,1,1
4751201,SE,2,559480.0,279740.0,2,2
4520006,SC,3,2808085.0,936028.3333333334,3,2
9001902,81570160,6,604823.0,100803.83333333333,2,1
1412603,RS,6,260150.0,43358.333333333336,5,5
7739099,MG,1,15000.0,15000.0,1,1
8299799,TO,1,68000.0,68000.0,1,1
8130300,MG,8,1545910.0,193238.75,5,6
1412602,RN,1,235000.0,235000.0,1,1
4321500,VILA BARROS,3,1080000.0,360000.0,2,1
3299099,GO,5,5059927.0,1011985.4,4,4
1412602,PR,4,205281.0,51320.25,4,4
1629301,MT,1,304500.0,304500.0,1,1
8712300,GO,4,796250.0,199062.5,1,2
9001902,TO,10,1819000.0,181900.0,4,9
5611203,PB,3,1348250.0,449416.6666666667,3,3
7319099,PB,2,1295000.0,647500.0,2,2
1091102,ES,4,775290.0,193822.5,2,2
1359600,RS,5,1567300.0,313460.0,4,5
5812301,BA,6,1184140.0,197356.66666666666,5,5
3319800,MG,1,0.0,0.0,1,1
4399199,GO,4,1435904.0,358976.0,4,3
4781400,RN,4,892000.0,223000.0,3,3
8129000,RS,3,5034996.0,1678332.0,3,3
4755501,RN,1,80000.0,80000.0,1,1
3321000,PR,1,524890.0,524890.0,1,1
7739003,ES,2,990550.0,495275.0,2,2
